Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Dummy Classifier,0.9186,0.5,0.0,0.0,0.0,0.0,0.0,4.105
Random Forest Classifier,0.8953,0.5569,0.0349,0.0979,0.0514,0.0091,0.0105,22.375
SVM - Linear Kernel,0.8893,0.0,0.0629,0.1299,0.0829,0.0326,0.0354,135.44
Light Gradient Boosting Machine,0.8892,0.5829,0.0634,0.1294,0.0849,0.0334,0.0358,17.21
Extra Trees Classifier,0.852,0.5523,0.099,0.0974,0.0981,0.0175,0.0176,23.555
Gradient Boosting Classifier,0.8471,0.6124,0.1726,0.1411,0.1551,0.0721,0.0726,295.475
Ridge Classifier,0.8366,0.0,0.195,0.1397,0.1627,0.075,0.0763,4.655
Linear Discriminant Analysis,0.8366,0.5916,0.195,0.1397,0.1627,0.075,0.0763,9.8
Decision Tree Classifier,0.7604,0.5065,0.2051,0.0871,0.1223,0.0091,0.0102,20.165
Ada Boost Classifier,0.7401,0.6072,0.3573,0.1229,0.1829,0.0703,0.0845,79.37
Quadratic Discriminant Analysis,0.6992,0.5429,0.2786,0.0813,0.0832,0.0039,0.0075,7.27
K Neighbors Classifier,0.6904,0.527,0.3148,0.0917,0.142,0.0182,0.0234,498.04
Logistic Regression,0.6741,0.5788,0.4118,0.1081,0.171,0.0483,0.0648,96.05
Naive Bayes,0.5424,0.5668,0.4981,0.1025,0.1499,0.0294,0.0349,5.455
